,name,DOB,ufc_record,weight,stance,nickname,heightIN,reachIN
2780,James Thompson," Dec 16, 1978", 20-16-0 (1 NC),265,Orthodox,THE COLOSSUS,77,77
2781,Oli Thompson," Jan 02, 1980", 17-10-0,242,Orthodox,,73,73
2782,Josh Thornburg," May 24, 1984", 8-8-0,170,Unknown,,72,72
2783,Chris Tickle," Feb 01, 1982", 9-9-0,155,Unknown,BADBOY,69,69
2784,Nolan Ticman," May 17, 1988", 4-3-0,125,Orthodox,,66,66
2785,Andrew Todhunter," Nov 30, 1987", 8-0-0,185,Switch,THE SNIPER,72,72
2786,Hideo Tokoro," Aug 22, 1977", 34-29-2,135,Orthodox,,67,67
2787,Anatoly Tokov," Feb 17, 1990", 25-2-0,185,Unknown,,70,70
2788,James Toney," Aug 24, 1968", 0-1-0,220,Orthodox,LIGHTS OUT,69,69
2789,Anthony Torres," Jul 31, 1978", 5-3-0,170,Orthodox,THE CRUSH,68,68
2790,Ronys Torres," Aug 13, 1975", 35-5-0,155,Orthodox,,67,67
2791,Alex Torres," May 29, 1988", 5-4-0,145,Orthodox,ROLO,70,70
2792,Abram Torres," Oct 29, 1982", 4-3-0,170,Unknown,,70,70
2793,Manuel Torres," Mar 25, 1995", 11-2-0,145,Unknown,EL LOCO,69,69
2794,Roberto Traven," Sep 16, 1968", 6-4-1,227,Orthodox,SPIDER,75,75
2795,Angelo Trevino," Jun 10, 1993", 7-3-0,170,Switch,BABY MONSTA,71,71
2796,Damien Trites," Aug 23, 1979", 7-6-0,165,Unknown,THE OMEN,71,71
2797,Tor Troeng," Jan 25, 1983", 16-7-1,185,Orthodox,THE HAMMER,74,74
2798,Reynaldo Trujillo," Jan 01, 1982", 21-19-0,155,Unknown,THE TRUTH,69,69
2799,Jumabieke Tuerxun," Apr 17, 1986", 19-4-1,135,Orthodox,THE WILD WOLF,67,67
2800,Teila Tuli," Jun 14, 1969", 0-1-0,430,Orthodox,,72,72
2801,Anton Turkalj," Jun 10, 1996", 7-0-0,205,Unknown,THE PLEASURE MAN,76,76
2802,Austin Tweedy," Sep 25, 1990", 8-2-0,155,Orthodox,,69,69
2803,Alberto Uda," Aug 08, 1984", 12-2-0,185,Orthodox,,75,75
2804,Ryuki Ueyama," Apr 17, 1976", 12-18-5 (1 NC),180,Southpaw,,71,71
2805,Christian Uflacker," Aug 04, 1985", 5-0-0,170,Unknown,,71,71
2806,Kengo Ura," Jun 20, 1981", 14-12-2,165,Unknown,URAKEN,69,69
2807,Yasuhiro Urushitani," Sep 08, 1976", 21-8-6,125,Southpaw,,65,65
2808,Mike van Arsdale," Jun 20, 1965", 8-5-0,205,Switch,,74,74
2809,Matt Van Buren," Jun 12, 1986", 7-6-0,205,Unknown,GUTTER,77,77
2810,Ron van Clief," Jan 25, 1943", 0-1-0,190,Orthodox,THE BLACK DRAGON,70,70
2811,Lloyd Van Dams," Mar 05, 1972", 0-1-0,240,Southpaw,,73,73
2812,Austin Vanderford," Mar 21, 1990", 4-0-0,170,Orthodox,AK-47,71,71
2813,Guilherme Vasconcelos," Mar 23, 1986", 9-4-0,185,Orthodox,BOMBA,72,72
2814,Linton Vassell," Jun 03, 1983", 18-5-0 (1 NC),205,Unknown,THE SWARM,76,76
2815,Billy Vaughan," Dec 02, 1983", 12-17-0,155,Unknown,,66,66
2816,Matt Veach," May 31, 1981", 17-5-0,155,Orthodox,,71,71
2817,Kelly Velasco," May 21, 1995", 2-1-0,135,Orthodox,KILLER,69,69
2818,Jerrel Venetiaan," Mar 09, 1971", 4-3-0 (1 NC),195,Orthodox,,73,73
2819,Scott Ventimiglia," Nov 17, 1972", 14-6-1,185,Unknown,MEANT TO KILL YA,71,71
2820,Joe Veres," Nov 09, 1977", 4-3-0,155,Orthodox,,67,67
2821,CJ Vergara," Jun 18, 1991", 8-2-1,135,Unknown,,66,66
2822,Renato Verissimo," Aug 03, 1973", 7-5-0 (1 NC),170,Orthodox,CHARUTO,73,73
2823,Bryan Vetell," Jul 26, 1977", 4-3-0,265,Southpaw,,75,75
2824,Milton Vieira," Oct 04, 1978", 13-8-2,145,Orthodox,MILTINHO,72,72
2825,Steve Vigneault," Feb 14, 1978", 12-6-0,185,Orthodox,LIONHEART,70,70
2826,Alejandro Villalobos," Oct 26, 1979", 17-5-0,145,Unknown,,67,67
2827,Ruben Villareal," May 01, 1970", 22-28-3,265,Orthodox,WARPATH,76,76
2828,Pablo Villaseca," Jan 26, 1987", 12-3-0,155,Unknown,EL GALLO,67,67
2829,Joey Villasenor," Oct 17, 1975", 29-10-0,185,Orthodox,SMOKIN' JOE,72,72
2830,Danillo Villefort," May 08, 1983", 15-5-0,185,Orthodox,INDIO,73,73
2831,Marcos Vinicius," Dec 05, 1979", 23-11-1,125,Orthodox,VINA,69,69
2832,Falaniko Vitale," Jul 14, 1974", 30-11-0,185,Orthodox,NIKO,70,70
2833,Jason Von Flue," Aug 01, 1975", 14-12-1,170,Orthodox,LIVE WIRE,72,72
2834,Igor Vovchanchyn," Aug 06, 1973", 55-10-0 (1 NC),205,Orthodox,ICE COLD,68,68
2835,Herschel Walker," Mar 03, 1962", 2-0-0,215,Orthodox,,73,73
2836,Donny Walker," Jan 04, 1980", 15-10-0,135,Unknown,EAGLE EYE,69,69
2837,Ben Wall," Mar 25, 1989", 8-7-1,155,Orthodox,MANIMAL,70,70
2838,Crafton Wallace," Nov 10, 1975", 18-6-1,185,Orthodox,BLAZE,72,72
2839,Jim Wallhead," Mar 14, 1984", 29-11-0,170,Orthodox,JUDO,70,70
2840,Patrick Walsh," Nov 28, 1988", 10-3-0,185,Unknown,THE BEAST OF THE EAST,71,71
2841,Andy Wang," May 28, 1977", 7-8-1 (1 NC),155,Orthodox,,66,66
2842,Sai Wang," Jan 14, 1986", 20-6-1,170,Southpaw,THE FIRE KYLIN,72,72
2843,Anying Wang," Apr 04, 1991", 2-1-0,170,Orthodox,,72,72
2844,Charlie Ward," Dec 17, 1980", 3-3-0,170,Orthodox,,71,71
2845,Joe Warren," Oct 31, 1976", 15-6-0,135,Orthodox,,66,66
2846,Idris Wasi," Dec 11, 1989", 2-14-0,186,Unknown,,72,72
2847,Kengo Watanabe," Jan 31, 1976", 8-13-3 (1 NC),220,Orthodox,,76,76
2848,Kazuhisa Watanabe," May 18, 1983", 0-1-0,139,Unknown,,66,66
2849,Ron Waterman," Nov 23, 1965", 16-6-2,280,Orthodox,H20,74,74
2850,Kyle Watson," Aug 09, 1979", 13-8-1,155,Southpaw,,72,72
2851,Jonavin Webb," Apr 28, 1989", 9-2-0 (1 NC),170,Orthodox,THE SPYDER,70,70
2852,Darian Weeks," Nov 23, 1993", 5-0-0,170,Unknown,,70,70
2853,Mark Weir," Sep 19, 1967", 21-18-1,185,Southpaw,THE WIZARD,74,74
2854,Mike Wessel," Dec 02, 1977", 15-8-0,260,Orthodox,JUGGERNAUT,72,72
2855,Vernon White," Dec 03, 1971", 26-33-2,205,Southpaw,TIGER,72,72
2856,Mike Whitehead," Jun 29, 1981", 27-8-0,205,Orthodox,,73,73
2857,Mitch Whitesel," Jul 12, 1981", 17-27-0 (1 NC),185,Unknown,,69,69
2858,Jonathan Wiezorek," Feb 10, 1978", 11-2-0,250,Southpaw,,75,75
2859,Justin Wilcox," Mar 12, 1979", 14-7-0 (1 NC),155,Orthodox,SILVERBACK,66,66
2860,Joe Wilk," Apr 12, 1982", 19-11-0,145,Unknown,THE NOSE,69,69
2861,Aaron Wilkinson," Jan 31, 1987", 11-7-0,155,Unknown,THE DAYWALKER,70,70
2862,Tedd Williams," Dec 19, 1969", 7-1-0,275,Orthodox,,73,73
2863,Pete Williams," Jul 10, 1975", 12-6-0,235,Orthodox,EL DURO,75,75
2864,Rubin Williams," Apr 09, 1976", 0-1-0,185,Orthodox,MR. HOLLYWOOD,73,73
2865,Sean Wilson," Oct 20, 1982", 36-29-0,145,Unknown,P-TOWN,68,68
2866,Eric Wisely," Jul 25, 1984", 26-9-1,145,Southpaw,LITTLE LEE,68,68
2867,Keith Wisniewski," Oct 25, 1981", 28-15-1,170,Orthodox,THE POLISH CONNECTION,72,72
2868,Travis Wiuff," Mar 15, 1978", 75-21-0 (1 NC),205,Orthodox,THE DIESEL,75,75
2869,Brandon Wolff," Oct 18, 1975", 7-5-0,170,Orthodox,,69,69
2870,Salvador Woods," Feb 05, 1985", 8-17-0,170,Unknown,,71,71
2871,Justin Wren," Apr 27, 1987", 13-2-0,265,Orthodox,THE VIKING,74,74
2872,Marcin Wrzosek," Oct 14, 1987", 12-4-0,155,Unknown,THE POLISH ZOMBIE,69,69
2873,Xiao Long," Feb 25, 1993", 14-5-0,135,Unknown,,68,68
2874,Jamie Yager," Nov 29, 1983", 8-4-0,185,Orthodox,THE CHOSYN 1,73,73
2875,Eddie Yagin," Mar 23, 1979", 16-7-1,145,Orthodox,THE FILIPINO PHENOM,67,67
2876,Keiichiro Yamamiya," Jul 12, 1972", 45-35-10,185,Southpaw,,71,71
2877,Kenichi Yamamoto," Jul 11, 1976", 5-12-2,170,Orthodox,,72,72
2878,Yoshihisa Yamamoto," Jul 04, 1970", 14-25-1,220,Southpaw,,74,74
2879,Atsushi Yamamoto," Oct 02, 1980", 19-11-3,139,Orthodox,,66,66
2880,Hiroko Yamanaka," Oct 24, 1978", 13-3-0 (1 NC),135,Unknown,CAT'S EYE,71,71
2881,Goiti Yamauchi," Jan 05, 1993", 21-3-0,145,Unknown,,70,70
2882,Jianping Yang," Nov 27, 1988", 11-4-1,145,Orthodox,,67,67
2883,Masutatsu Yano," Jul 11, 1975", 2-4-1,198,Orthodox,,69,69
2884,Emmanuel Yarborough," Sep 05, 1960", 1-2-0,770,Switch,,80,80
2885,Cale Yarbrough," Dec 27, 1986", 8-3-0,185,Orthodox,,73,73
2886,Tadao Yasuda," Oct 09, 1963", 2-4-0,310,Orthodox,,76,76
2887,Yoshiaki Yatsu," Jul 19, 1956", 0-2-0,165,Orthodox,,73,73
2888,Hirotaka Yokoi," Jun 08, 1978", 11-5-0,205,Orthodox,KAIBATSU-KUN,71,71
2889,Kazunori Yokota," Apr 03, 1978", 25-7-3,154,Orthodox,,68,68
2890,Dong Sik Yoon," Aug 24, 1972", 9-9-0,185,Orthodox,,72,72
2891,Hidehiko Yoshida," Sep 03, 1969", 6-8-1,225,Orthodox,,71,71
2892,Kaitlin Young," Sep 15, 1985", 7-9-1,135,Orthodox,,69,69
2893,Trenell Young," Jun 19, 1976", 11-9-0,145,Orthodox,SAVANT,66,66
2894,Besam Yousef," Mar 25, 1985", 7-4-0,170,Orthodox,,71,71
2895,Rob Yundt," May 05, 1980", 9-5-0,185,Orthodox,MONSTER,73,73
2896,Anton Zafir," May 10, 1987", 7-3-0,170,Orthodox,THE PROFESSOR,71,71
2897,Roger Zapata," May 09, 1986", 4-2-0,170,Southpaw,VIVA,71,71
2898,Marius Zaromskis," Jul 30, 1980", 20-9-0 (1 NC),170,Orthodox,THE WHITEMARE,69,69
2899,Joao Zeferino," Jan 15, 1986", 21-9-0,170,Orthodox,THE BRAZILIAN SAMURAI,71,71
2900,Craig Zellner," Sep 09, 1976", 4-3-0,205,Orthodox,BIG Z,74,74
2901,Roman Zentsov," Sep 10, 1973", 18-12-0,230,Orthodox,THE RUSSIAN HAMMER,73,73
2902,James Zikic," Mar 01, 1977", 21-10-2,205,Orthodox,THE MESSENGER,74,74
2903,Errol Zimmerman," Apr 20, 1986", 0-1-0,185,Orthodox,THE BONECRUSHER,75,75
2904,Olivier Murad," Dec 21, 1993", 4-0-0,145,Unknown,WARRIOR OF GOD,101,101
2905,Tom Aaron," Jul 13, 1978", 5-3-0,155,Unknown,,101,101
2906,Dean Barry," Mar 07, 1992", 3-1-0,155,Unknown,THE SNIPER,101,101
2907,Fernando Bettega," Mar 10, 1980", 7-5-0,170,Unknown,,101,101
2908,Simon Biyong," Apr 05, 1991", 7-1-0,205,Unknown,,101,101
2909,Terrell Brown," Apr 13, 1983", 3-1-0,185,Unknown,,101,101
2910,Martin Buday," Nov 11, 1991", 7-1-0,265,Unknown,,101,101
2911,John Clarke," Aug 15, 1977", 1-1-0,170,Unknown,,101,101
2912,Marc Cofer," Mar 03, 1972", 7-5-0,185,Unknown,,101,101
2913,Coltin Cole," Apr 24, 1989", 4-5-0,185,Unknown,,101,101
2914,TJ Cook," Sep 08, 1982", 13-5-0,205,Unknown,,101,101
2915,Bill Cooper," May 05, 1984", 2-1-0,155,Unknown,,101,101
2916,Chris Culley," Mar 25, 1986", 20-15-0,145,Unknown,,101,101
2917,Humberto DeLeon," Nov 12, 1989", 7-7-0,135,Unknown,,101,101
2918,Justin DeMoney," Jul 01, 1985", 15-7-1,170,Unknown,,101,101
2919,Dennis Dombrow," Mar 17, 1986", 7-5-0 (1 NC),145,Unknown,,101,101
2920,Joe Duarte," Jan 25, 1977", 10-4-0,155,Unknown,,101,101
2921,Adli Edwards," Aug 28, 1989", 4-1-0,145,Unknown,,101,101
2922,Josh Epps," Aug 23, 1986", 6-7-0,130,Unknown,,101,101
2923,Neal Ewing," Sep 30, 1985", 6-0-0,185,Unknown,,101,101
2924,JP Felty," Apr 28, 1979", 4-5-0,170,Unknown,,101,101
2925,Cody Floyd," Jul 18, 1988", 2-0-0,--,Unknown,,101,101
2926,Mike Glenn," Oct 09, 1977", 5-6-0,205,Unknown,,101,101
2927,David Gomez," Aug 08, 1983", 1-2-0,155,Unknown,,101,101
2928,Kier Gooch," Apr 21, 1986", 2-7-0,155,Unknown,,101,101
2929,Jeremy Hamilton," Nov 14, 1984", 9-2-0,185,Unknown,HAWK,101,101
2930,Dhafir Harris," Aug 04, 1977", 2-0-0 (1 NC),257,Unknown,DADA 5000,101,101
2931,Lee Higgins," Jul 14, 1980", 2-1-0,155,Unknown,,101,101
2932,Hiroshi Izumi," Jun 22, 1982", 4-2-0,205,Orthodox,,101,101
2933,Roy Jones," Oct 26, 1983", 7-5-0,205,Unknown,,101,101
2934,John Kuhner," Oct 12, 1982", 1-2-0,170,Unknown,,101,101
2935,Aaron Lanfranco," Aug 26, 1986", 5-1-0,155,Unknown,,101,101
2936,Lionel Lanham," Aug 31, 1980", 5-1-0,205,Unknown,,101,101
2937,Ryan Larson," Dec 30, 1980", 6-2-0,170,Unknown,,101,101
2938,Lukasz Les," Nov 05, 1981", 8-3-0,170,Unknown,,101,101
2939,Rocky Long," Feb 18, 1978", 21-37-1,145,Unknown,,101,101
2940,Vinicius Magalhaes," Jul 30, 1971", 2-1-0,145,Unknown,DRACULINHO,101,101
2941,Logan Nail," Jun 20, 1989", 1-1-0,185,Unknown,,101,101
2942,Drew Pendleton," Dec 08, 1983", 5-0-0,145,Unknown,,101,101
2943,Alex Pereira," Jul 07, 1987", 2-1-0,185,Unknown,POATAN,101,101
2944,Wayne Phillips," Jun 17, 1983", 7-7-0,185,Unknown,,101,101
2945,Felipe Portela," Nov 23, 1987", 9-2-0,170,Unknown,BALBOA,101,101
2946,Amador Ramirez," Jun 14, 1990", 5-4-0,135,Unknown,,101,101
2947,Joe Ray," Dec 17, 1984", 13-0-0,170,Unknown,,101,101
2948,Matt Ricehouse," Mar 11, 1987", 6-1-0,155,Unknown,,101,101
2949,John Richard," May 22, 1982", 3-5-1,205,Unknown,,101,101
2950,Theo Rlayang," Aug 10, 1994", 5-0-0,145,Unknown,,101,101
2951,Jose Santibanez," Jan 18, 1980", 10-3-0,155,Unknown,,101,101
2952,Eric Steenberg," Jun 22, 1983", 5-1-0,155,Unknown,,101,101
2953,Lucasz Sudolski," Jun 15, 1993", 8-0-0,205,Unknown,,101,101
2954,Junior Tafa," Sep 21, 1996", 0-0-0,--,Unknown,,101,101
2955,Bryan Travers," Apr 11, 1983", 15-4-0,155,Unknown,,101,101
2956,Maka Watson," Sep 22, 1984", 4-2-0,155,Unknown,,101,101
2957,Greg Wilson," Oct 02, 1988", 2-3-0,155,Unknown,,101,101
2958,JW Wright," Jan 12, 1976", 1-0-0,130,Unknown,,101,101
2959,Artenus Young," Jul 16, 1980", 10-12-0,205,Unknown,,101,101
2960,Joao Zaiden," Mar 16, 1993", 10-3-0,205,Unknown,,101,101
2961,Dave Zitanick," Mar 05, 1980", 5-7-0 (1 NC),170,Unknown,,101,101
2962,Per Eklund,"Jan 1, 1900", 14-5-1,155,Orthodox,,70,72
2963,Jess Liaudin,"Jan 1, 1900", 20-11-0,170,Orthodox,THE JOKER,69,72
2964,Curt Warburton,"Jan 1, 1900", 13-6-0,155,Orthodox,,72,73
2965,David Onama,"Jan 1, 1900", 8-0-0,155,Unknown,,70,70
2966,Dylan Potter,"Jan 1, 1900", 10-5-0,205,Unknown,BIG POPPA,74,74
2967,Jack Della Maddalena,"Jan 1, 1900", 9-2-0,170,Unknown,,71,71
2968,David Abbott,"Jan 1, 1900", 10-15-0,265,Switch,TANK,72,72
2969,Hiroyuki Abe,"Jan 1, 1900", 8-15-3 (1 NC),145,Orthodox,ABE ANI,66,66
2970,Scott Adams,"Jan 1, 1900", 8-1-0,225,Southpaw,,72,72
2971,Marcelo Aguiar,"Jan 1, 1900", 2-3-1,170,Orthodox,,70,70
2972,Edwin Aguilar,"Jan 1, 1900", 26-19-0 (1 NC),185,Unknown,TIGRE,70,70
2973,Mike Aina,"Jan 1, 1900", 14-6-1 (1 NC),155,Orthodox,IRON,69,69
2974,Javi Alanis,"Jan 1, 1900", 0-4-0,135,Unknown,,66,66
2975,Wes Albritton,"Jan 1, 1900", 0-1-0,188,Orthodox,,70,70
2976,Royce Alger,"Jan 1, 1900", 3-2-0,199,Orthodox,,70,70
2977,Jailton Almeida,"Jan 1, 1900", 0-0-0,135,Unknown,GAFANHOTO DESTRUIDOR,62,62
2978,Rico Altamirano,"Jan 1, 1900", 4-3-0,170,Unknown,,70,70
2979,Mike Altman,"Jan 1, 1900", 1-4-0,185,Orthodox,,70,70
2980,Andre Amado,"Jan 1, 1900", 6-4-1,154,Orthodox,DIDA,72,72
2981,JJ Ambrose,"Jan 1, 1900", 28-7-0 (2 NC),170,Orthodox,,70,70
2982,Bertrand Amoussou,"Jan 1, 1900", 1-1-0,190,Orthodox,,68,68
2983,Lowell Anderson,"Jan 1, 1900", 0-1-0,160,Orthodox,,66,66
2984,Jermaine Andre,"Jan 1, 1900", 14-4-0,200,Orthodox,,67,67
2985,Hashem Arkhagha,"Jan 1, 1900", 6-0-0,185,Unknown,CAVACA,74,74
2986,Gilles Arsene,"Jan 1, 1900", 1-1-0,190,Southpaw,,69,69
2987,Veta Arteaga,"Jan 1, 1900", 3-1-0,125,Unknown,,67,67
2988,Bazigit Atajev,"Jan 1, 1900", 17-1-0,230,Orthodox,VOLK,73,73
2989,David Avellan,"Jan 1, 1900", 2-1-0,185,Orthodox,,69,69
2990,Jordan Bailey,"Jan 1, 1900", 6-3-0,145,Unknown,,69,69
2991,Scott Baker,"Jan 1, 1900", 1-1-0,210,Unknown,,72,72
2992,Jin Bala,"Jan 1, 1900", 20-1-0,155,Unknown,,69,69
2993,James Barnes,"Jan 1, 1900", 7-2-0,145,Unknown,,68,68
2994,Nick Barnes,"Jan 1, 1900", 11-2-0,170,Unknown,,71,71
2995,Carlos Barreto,"Jan 1, 1900", 14-9-0,230,Orthodox,,76,76
2996,David Barrios,"Jan 1, 1900", 4-8-0,145,Unknown,,66,66
2997,Ryan Bastianelli,"Jan 1, 1900", 6-7-0 (1 NC),135,Unknown,RELENTLESS,65,65
2998,Rudy Bears,"Jan 1, 1900", 16-15-0,170,Southpaw,,71,71
2999,Salvador Becerra,"Jan 1, 1900", 5-2-0,155,Unknown,,69,69
3000,Mike Bencic,"Jan 1, 1900", 1-2-0,215,Orthodox,BATMAN,72,72
3001,Dave Beneteau,"Jan 1, 1900", 6-5-1,250,Orthodox,DANGEROUS,74,74
3002,Karla Benitez,"Jan 1, 1900", 14-11-1 (1 NC),113,Unknown,,63,63
3003,Josh Bennett,"Jan 1, 1900", 11-14-0,259,Orthodox,,76,76
3004,Pat Benson,"Jan 1, 1900", 3-5-3,155,Unknown,,69,69
3005,Dieusel Berto,"Jan 1, 1900", 0-3-0,200,Unknown,,69,69
3006,Scott Bessac,"Jan 1, 1900", 4-6-0,245,Unknown,,76,76
3007,Scott Bills,"Jan 1, 1900", 7-9-1,170,Unknown,,70,70
3008,Amaury Bitetti,"Jan 1, 1900", 5-2-0,185,Orthodox,,69,69
3009,David Blanco,"Jan 1, 1900", 2-0-0,145,Unknown,,67,67
3010,Derek Bohi,"Jan 1, 1900", 8-5-0,260,Unknown,MARSHMALLOW,76,76
3011,Mandy Bohm,"Jan 1, 1900", 7-0-0 (1 NC),125,Unknown,MONSTER,66,66
3012,Kyle Bolt,"Jan 1, 1900", 8-4-0,185,Unknown,,74,74
3013,Luc Bondole,"Jan 1, 1900", 5-2-2,205,Unknown,,74,74
3014,Tony Bonello,"Jan 1, 1900", 16-3-1 (1 NC),185,Unknown,THE GUN,74,74
3015,Marcos Bonilla,"Jan 1, 1900", 4-4-0,145,Unknown,MURDER MARX,70,70
3016,Igor Borisov,"Jan 1, 1900", 1-1-0,235,Orthodox,,72,72
3017,Marcus Bossett,"Jan 1, 1900", 1-3-0,215,Orthodox,THE GRASSHOPPER,73,73
3018,Gregory Bouchelaghem,"Jan 1, 1900", 5-4-0,183,Switch,,74,74
3019,Roy Boughton,"Jan 1, 1900", 14-8-0,205,Unknown,BLACK DYNAMITE,72,72
3020,Rich Bouphanouvong,"Jan 1, 1900", 1-4-0,170,Unknown,,67,67
3021,Mike Bourke,"Jan 1, 1900", 10-16-1 (1 NC),275,Orthodox,THE RHINO,72,72
3022,Tai Bowden,"Jan 1, 1900", 1-1-0,230,Unknown,,71,71
3023,Blake Bowman,"Jan 1, 1900", 2-6-0,170,Unknown,,74,74
3024,Colley Bradford,"Jan 1, 1900", 0-1-0,145,Unknown,,67,67
3025,Robert Breslin,"Jan 1, 1900", 3-9-0,155,Unknown,THE BULLET,71,71
3026,Frederick Brown,"Jan 1, 1900", 3-2-0,235,Unknown,,72,72
3027,Justin Bruckmann,"Jan 1, 1900", 7-3-0,170,Orthodox,LOAF,69,69
3028,Lucas Brzeski,"Jan 1, 1900", 8-1-1,231,Unknown,,74,74
3029,Zak Bucia,"Jan 1, 1900", 17-8-0,170,Unknown,,70,70
3030,Francisco Bueno,"Jan 1, 1900", 5-2-0,225,Orthodox,,69,69
3031,Lee Kwan Bum,"Jan 1, 1900", 0-1-0,286,Orthodox,,74,74
3032,Josh Bumgarner,"Jan 1, 1900", 6-4-0,170,Unknown,,73,73
3033,George Bush,"Jan 1, 1900", 5-2-0,205,Unknown,,73,73
3034,Nick Bustamante,"Jan 1, 1900", 5-3-0,170,Unknown,,69,69
3035,Todd Butler,"Jan 1, 1900", 1-4-0,200,Southpaw,,73,73
3036,Ian Butler,"Jan 1, 1900", 3-3-0 (1 NC),155,Unknown,,68,68
3037,Steve Byrnes,"Jan 1, 1900", 6-1-0,170,Orthodox,THE SERGEANT,72,72
3038,Alvin Cacdac,"Jan 1, 1900", 18-13-0,125,Orthodox,,66,66
3039,Travis Calanoc,"Jan 1, 1900", 5-1-0,145,Orthodox,THE DARK KNIGHT,68,68
3040,Ricky Camp,"Jan 1, 1900", 11-4-0,135,Unknown,2 SLICK,67,67
3041,Mike Campbell,"Jan 1, 1900", 13-4-0,155,Southpaw,THE BEAST,69,69
3042,John Campetella,"Jan 1, 1900", 0-1-0,235,Orthodox,,69,69
3043,Asbel Cancio,"Jan 1, 1900", 0-1-0,225,Unknown,,70,70
3044,Cody Canterbury,"Jan 1, 1900", 1-10-0,155,Unknown,,68,68
3045,Rafael Carino,"Jan 1, 1900", 2-1-1,245,Orthodox,,80,80
3046,Gabriel Carrasco,"Jan 1, 1900", 7-0-0,135,Unknown,,66,66
3047,Cody Carrillo,"Jan 1, 1900", 11-16-0,155,Unknown,,70,70
3048,Roger Carroll,"Jan 1, 1900", 16-14-0,170,Unknown,THE LEPRECHAUN,70,70
3049,Jonny Carson,"Jan 1, 1900", 11-7-0,155,Unknown,,70,70
3050,Scott Carson,"Jan 1, 1900", 4-2-0,215,Unknown,,74,74
3051,Brandon Cash,"Jan 1, 1900", 10-4-0,255,Orthodox,MONEY,77,77
3052,Dwayne Cason,"Jan 1, 1900", 1-1-0,212,Orthodox,,70,70
3053,Eric Castile,"Jan 1, 1900", 3-2-0,145,Unknown,,68,68
3054,Raul Castillo,"Jan 1, 1900", 7-1-0,185,Orthodox,,71,71
3055,Tim Catalfo,"Jan 1, 1900", 4-2-0,235,Orthodox,OBAKE,71,71
3056,Donnie Chappell,"Jan 1, 1900", 0-1-0,178,Southpaw,,71,71
3057,Joe Charles,"Jan 1, 1900", 6-13-0,260,Southpaw,THE GHETTO MAN,73,73
3058,Emilio Chavez,"Jan 1, 1900", 12-9-0,145,Unknown,,69,69
3059,Murad Chunkaiev,"Jan 1, 1900", 8-4-0,185,Orthodox,,71,71
3060,Steven Ciaccio,"Jan 1, 1900", 4-4-0,170,Unknown,STRYKER,72,72
3061,Mychal Clark,"Jan 1, 1900", 10-14-0,224,Orthodox,,75,75
3062,Brian Cobb,"Jan 1, 1900", 20-9-0,155,Orthodox,,71,71
3063,Wayne Cole,"Jan 1, 1900", 16-25-0,205,Orthodox,,73,73
3064,Chris Condo,"Jan 1, 1900", 0-1-0,335,Orthodox,,72,72
3065,Bob Cook,"Jan 1, 1900", 5-0-0,170,Orthodox,CRAZY,69,69
3066,Mike Cook,"Jan 1, 1900", 13-13-0,205,Orthodox,,73,73
3067,Bobby Cooper,"Jan 1, 1900", 12-7-0,155,Unknown,SUPER DUPER,73,73
3068,Henry Corrales,"Jan 1, 1900", 13-3-0,145,Unknown,,69,69
3069,Chad Corvin,"Jan 1, 1900", 5-0-0,255,Unknown,THE BRAVE WARRIOR,77,77
3070,Miguel Cosio,"Jan 1, 1900", 1-13-0,205,Unknown,,76,76
3071,Jadson Costa,"Jan 1, 1900", 22-8-0 (1 NC),155,Orthodox,,67,67
3072,Dave Courchaine,"Jan 1, 1900", 20-7-0,170,Unknown,,68,68
3073,Larry Cureton,"Jan 1, 1900", 0-2-0,240,Orthodox,,74,74
3074,Richard Dalton,"Jan 1, 1900", 4-3-1,205,Orthodox,,73,73
3075,Marko Damiani,"Jan 1, 1900", 0-2-0,170,Unknown,,72,72
3076,Carina Damm,"Jan 1, 1900", 2-13-0,135,Unknown,BEAUTY BUT THE BEAST,64,64
3077,Raymond Daniels,"Jan 1, 1900", 0-1-0,185,Southpaw,,74,74
3078,Brian Davidson,"Jan 1, 1900", 13-4-0,145,Unknown,,66,66
3079,Rick Davis,"Jan 1, 1900", 3-1-1,155,Orthodox,THE FLYING SQUIRREL,69,69
3080,Lemont Davis,"Jan 1, 1900", 2-6-0,170,Orthodox,,68,68
3081,Johil de Oliveira,"Jan 1, 1900", 17-15-1 (1 NC),170,Orthodox,,66,66
3082,Rafael Del Real,"Jan 1, 1900", 6-20-0,225,Unknown,,71,71
3083,Israel Delgado,"Jan 1, 1900", 0-2-0,155,Unknown,,70,70
3084,Jack Della,"Jan 1, 1900", 9-2-0,170,Unknown,,71,71
3085,Robert Densley,"Jan 1, 1900", 9-10-0,155,Unknown,THE WRECKER,69,69
3086,Cory Devela,"Jan 1, 1900", 16-7-0,185,Orthodox,THE ONE,60,60
3087,Ralph Dillon,"Jan 1, 1900", 0-2-1,205,Orthodox,RAGE,74,74
3088,Helio Dipp,"Jan 1, 1900", 6-3-0,185,Orthodox,,77,77
3089,John Dixson,"Jan 1, 1900", 15-22-0,275,Orthodox,BIG JOHN,72,72
3090,Anthony Do,"Jan 1, 1900", 4-2-0,125,Unknown,,64,64
3091,Houston Dorr,"Jan 1, 1900", 1-2-0,210,Orthodox,,73,73
